,season,id,match_between,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,venue,home_captain,away_captain,player_of_the_match,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler,part_of_the_day
709,2011,501201,DC v MI,DC,MI,DC,BAT FIRST,95/10,99/2,95/10,99/2,MI,Mum Indians won by 8 wickets (with 19 balls remaining),"Arun Jaitley Stadium, Delhi",Virender Sehwag,Sachin Tendulkar,Lasith Malinga,False,17.4,95.0,10.0,11.0,16.5,99.0,2.0,9.0,"Naman Ojha,Venugopal Rao","Morne Morkel,Ashok Dinda","Sachin Tendulkar,Rohit Sharma","Lasith Malinga,Harbhajan Singh",day/night
710,2011,501202,PWI v PBKS,PWI,PBKS,PBKS,BAT FIRST,112/8,113/3,113/3,112/8,PWI,Warriors won by 7 wickets (with 41 balls remaining),"Dr DY Patil Sports Academy, Mumbai",Yuvraj Singh,Adam Gilchrist,Shrikant Wagh,False,13.1,113.0,3.0,18.0,20.0,112.0,8.0,13.0,"Mithun Manhas,Jesse Ryder","Shrikant Wagh,Alfonso Thomas","Ryan McLaren,Piyush Chawla","Abhishek Nayar,Ryan McLaren",night
711,2011,501203,KKR v DC,KKR,SRH,KKR,BAT FIRST,163/4,154/8,163/4,154/8,KKR,KKR won by 9 runs,"Eden Gardens, Kolkata",Gautam Gambhir,Kumar Sangakkara,Jacques Kallis,False,20.0,163.0,4.0,23.0,20.0,154.0,8.0,18.0,"Jacques Kallis,Manoj Tiwary","Iqbal Abdulla,Rajat Bhatia","Bharat Chipli,Daniel Christian","Amit Mishra,Jean-Paul Duminy",night
712,2011,501204,RR v DC,RR,DC,DC,BAT FIRST,151/6,152/4,152/4,151/6,RR,Royals won by 6 wickets (with 9 balls remaining),"Sawai Mansingh Stadium, Jaipur",Shane Warne,Virender Sehwag,Shane Warne,False,18.3,152.0,4.0,19.0,20.0,151.0,6.0,20.0,"Johan Botha,Rahul Dravid","Shane Warne,Shaun Tait","Venugopal Rao,David Warner","Morne Morkel,Irfan Pathan",day/night
713,2011,501205,RCB v MI,RCB,MI,MI,BOWL FIRST,140/4,143/1,140/4,143/1,MI,Mum Indians won by 9 wickets (with 9 balls remaining),"M.Chinnaswamy Stadium, Bengaluru",Daniel Vettori,Sachin Tendulkar,Sachin Tendulkar,False,20.0,140.0,4.0,15.0,18.3,143.0,1.0,20.0,"Tillakaratne Dilshan,AB de Villiers","Dirk Nannes,Daniel Vettori","Ambati Rayudu,Sachin Tendulkar","Kieron Pollard,Lasith Malinga",night
714,2011,501206,PBKS v CSK,PBKS,CSK,PBKS,BOWL FIRST,188/4,193/4,193/4,188/4,PBKS,Kings XI won by 6 wickets (with 5 balls remaining),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Adam Gilchrist,MS Dhoni,Paul Valthaty,False,19.1,193.0,4.0,29.0,20.0,188.0,4.0,24.0,"Paul Valthaty,Dinesh Karthik","Praveen Kumar,Ryan Harris","Murali Vijay,S Badrinath","Suraj Randiv,Tim Southee",day/night
715,2011,501207,PWI v Kochi,PWI,Kochi,Kochi,BAT FIRST,148/8,151/6,151/6,148/8,PWI,Warriors won by 4 wickets (with 7 balls remaining),"Dr DY Patil Sports Academy, Mumbai",Yuvraj Singh,Mahela Jayawardene,Mohnish  Mishra,False,18.5,151.0,6.0,17.0,20.0,148.0,8.0,17.0,"Mohnish  Mishra,Robin Uthappa","Wayne Parnell,Jesse Ryder","Ravindra Jadeja,Brad Hodge","Brad Hodge,Vinay Kumar",night
716,2011,501208,DC v RCB,SRH,RCB,RCB,BOWL FIRST,175/5,142/9,175/5,142/9,SRH,Chargers won by 33 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kumar Sangakkara,Daniel Vettori,Dale Steyn,False,20.0,175.0,5.0,23.0,20.0,142.0,9.0,15.0,"Bharat Chipli,Sunny Sohal","Dale Steyn,Manpreet Gony","Virat Kohli,Cheteshwar Pujara","Zaheer Khan,Johan van der Wath",night
717,2011,501209,RR v KKR,RR,KKR,KKR,BOWL FIRST,159/4,160/1,159/4,160/1,KKR,KKR won by 9 wickets (with 9 balls remaining),"Sawai Mansingh Stadium, Jaipur",Shane Warne,Gautam Gambhir,Gautam Gambhir,False,20.0,159.0,4.0,15.0,18.3,160.0,1.0,21.0,"Ross Taylor,Rahul Dravid","Johan Botha,Shane Warne","Jacques Kallis,Gautam Gambhir","Yusuf Pathan,Shakib Al Hasan",day/night
718,2011,501210,MI v Kochi,MI,Kochi,Kochi,BOWL FIRST,182/2,184/2,182/2,184/2,Kochi,Kochi won by 8 wickets (with 6 balls remaining),"Wankhede Stadium, Mumbai",Sachin Tendulkar,Mahela Jayawardene,Brendon McCullum,False,20.0,182.0,2.0,23.0,19.0,184.0,2.0,27.0,"Sachin Tendulkar,Ambati Rayudu","Lasith Malinga,Munaf Patel","Brendon McCullum,Mahela Jayawardene","Raiphi Gomez,RP Singh",night
719,2011,501211,CSK v RCB,CSK,RCB,CSK,BAT FIRST,183/5,162/7,183/5,162/7,CSK,Super Kings won by 21 runs,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Daniel Vettori,Michael Hussey,False,20.0,183.0,5.0,25.0,20.0,162.0,7.0,18.0,"Michael Hussey,Murali Vijay","Suraj Randiv,Albie Morkel","AB de Villiers,Virat Kohli","Ryan Ninan,Johan van der Wath",day/night
720,2011,501212,DC v PBKS,SRH,PBKS,PBKS,BOWL FIRST,165/8,166/2,165/8,166/2,PBKS,Kings XI won by 8 wickets (with 14 balls remaining),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kumar Sangakkara,Adam Gilchrist,Paul Valthaty,False,20.0,165.0,8.0,20.0,17.4,166.0,2.0,23.0,"Shikhar Dhawan,Kumar Sangakkara","Amit Mishra,Ishant Sharma","Paul Valthaty,Adam Gilchrist","Paul Valthaty,Ryan McLaren",night
721,2011,501213,PWI v DC,PWI,DC,DC,BOWL FIRST,187/5,190/7,187/5,190/7,DC,Daredevils won by 3 wickets (with 4 balls remaining),"Dr DY Patil Sports Academy, Mumbai",Yuvraj Singh,Virender Sehwag,Yuvraj Singh,False,20.0,187.0,5.0,24.0,19.2,190.0,7.0,25.0,"Yuvraj Singh,Jesse Ryder","Yuvraj Singh,Rahul Sharma","David Warner,Virender Sehwag","Shahbaz Nadeem,Ashok Dinda",day/night
722,2011,501214,KKR v RR,KKR,RR,KKR,BOWL FIRST,81/10,85/2,85/2,81/10,KKR,KKR won by 8 wickets (with 37 balls remaining),"Eden Gardens, Kolkata",Gautam Gambhir,Shane Warne,Lakshmipathy Balaji,False,13.5,85.0,2.0,8.0,15.2,81.0,10.0,7.0,"Gautam Gambhir,Manoj Tiwary","Lakshmipathy Balaji,Shakib Al Hasan","Ashok Menaria,Amit Paunikar","Shane Warne,Shaun Tait",night
723,2011,501215,Kochi v CSK,Kochi,CSK,Kochi,BOWL FIRST,131/4,135/3,135/3,131/4,Kochi,Kochi won by 7 wickets (with 12 balls remaining) (D/L method),"Nehru Stadium, Kochi",Mahela Jayawardene,MS Dhoni,Brendon McCullum,False,15.0,135.0,3.0,19.0,17.0,131.0,4.0,18.0,"Brendon McCullum,Parthiv Patel","RP Singh,Raiphi Gomez","Suresh Raina,Murali Vijay","Ravichandran Ashwin,Doug Bollinger",night
726,2011,501218,MI v PWI,MI,PWI,PWI,BAT FIRST,118/10,124/3,124/3,118/10,MI,Mum Indians won by 7 wickets (with 0 balls remaining),"Wankhede Stadium, Mumbai",Sachin Tendulkar,Yuvraj Singh,Munaf Patel,False,20.0,124.0,3.0,11.0,17.2,118.0,10.0,15.0,"Ambati Rayudu,Sachin Tendulkar","Munaf Patel,Abu Nechim","Robin Uthappa,Rahul Sharma","Shrikant Wagh,Rahul Sharma",day/night
727,2011,501219,KKR v Kochi,KKR,Kochi,KKR,BOWL FIRST,132/7,126/9,126/9,132/7,Kochi,Kochi won by 6 runs,"Eden Gardens, Kolkata",Gautam Gambhir,Mahela Jayawardene,Mahela Jayawardene,False,20.0,126.0,9.0,10.0,20.0,132.0,7.0,16.0,"Manoj Tiwary,Manvinder  Bisla","Yusuf Pathan,Shakib Al Hasan","Ravindra Jadeja,Mahela Jayawardene","Ravindra Jadeja,RP Singh",night
728,2011,501220,PBKS v RR,PBKS,RR,RR,BOWL FIRST,195/7,147/7,195/7,147/7,PBKS,Kings XI won by 48 runs,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Adam Gilchrist,Shane Warne,Shaun Marsh,False,20.0,195.0,7.0,26.0,20.0,147.0,7.0,18.0,"Shaun Marsh,Paul Valthaty","Praveen Kumar,Bhargav Bhatt","Ashok Menaria,Stuart Binny","Shaun Tait,Shane Watson",night
